#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         419     1.00291     1.00093 4.18601e-05
         420     1.00292     1.00094 4.20273e-05
         421     1.00294     1.00094 4.21949e-05
         422     1.00295     1.00095 4.23628e-05
         423     1.00297     1.00095 4.25311e-05
         424     1.00298     1.00096 4.26997e-05
         425       1.003     1.00096 4.28686e-05
         426     1.00301     1.00097 4.30379e-05
         427     1.00303     1.00097 4.32076e-05
         428     1.00304     1.00098 4.33776e-05
         429     1.00306     1.00098 4.35479e-05
         430     1.00308     1.00099 4.37186e-05
         431     1.00309     1.00099 4.38896e-05
         432     1.00311       1.001  4.4061e-05
         433     1.00312       1.001 4.42327e-05
         434     1.00314       1.001 4.44048e-05
         435     1.00316     1.00101 4.45773e-05
         436     1.00317     1.00101   4.475e-05
         437     1.00319     1.00102 4.49232e-05
         438      1.0032     1.00102 4.50967e-05
         439     1.00322     1.00103 4.52705e-05
         440     1.00324     1.00103 4.54447e-05
         441     1.00325     1.00104 4.56193e-05
         442     1.00327     1.00104 4.57942e-05
         443     1.00329     1.00105 4.59695e-05
         444      1.0033     1.00105 4.61451e-05
         445     1.00332     1.00106 4.63211e-05
         446     1.00334     1.00107 4.64974e-05
         447     1.00335     1.00107 4.66741e-05
         448     1.00337     1.00108 4.68512e-05
         449     1.00339     1.00108 4.70286e-05
         450      1.0034     1.00109 4.72064e-05
         451     1.00342     1.00109 4.73845e-05
         452     1.00344      1.0011  4.7563e-05
         453     1.00345      1.0011 4.77419e-05
         454     1.00347     1.00111 4.79211e-05
         455     1.00349     1.00111 4.81007e-05
         456      1.0035     1.00112 4.82806e-05
         457     1.00352     1.00112 4.84609e-05
         458     1.00354     1.00113 4.86416e-05
         459     1.00356     1.00113 4.88227e-05
         460     1.00357     1.00114 4.90041e-05
         461     1.00359     1.00114 4.91859e-05
         462     1.00361     1.00115  4.9368e-05
         463     1.00363     1.00115 4.95505e-05
         464     1.00364     1.00116 4.97334e-05
         465     1.00366     1.00116 4.99167e-05
         466     1.00368     1.00117 5.01003e-05
         467      1.0037     1.00118 5.02843e-05
         468     1.00371     1.00118 5.04687e-05
         469     1.00373     1.00119 5.06534e-05
         470     1.00375     1.00119 5.08386e-05
         471     1.00377      1.0012 5.10241e-05
         472     1.00379      1.0012 5.12099e-05
         473      1.0038     1.00121 5.13962e-05
         474     1.00382     1.00121 5.15828e-05
         475     1.00384     1.00122 5.17699e-05
         476     1.00386     1.00123 5.19573e-05
         477     1.00388     1.00123  5.2145e-05
         478      1.0039     1.00124 5.23332e-05
         479     1.00391     1.00124 5.25218e-05
         480     1.00393     1.00125 5.27107e-05
         481     1.00395     1.00125    5.29e-05
         482     1.00397     1.00126 5.30897e-05
         483     1.00399     1.00126 5.32798e-05
         484     1.00401     1.00127 5.34703e-05
         485     1.00403     1.00128 5.36611e-05
         486     1.00404     1.00128 5.38524e-05
         487     1.00406     1.00129  5.4044e-05
         488     1.00408     1.00129  5.4236e-05
         489      1.0041      1.0013 5.44284e-05
         490     1.00412      1.0013 5.46212e-05
         491     1.00414     1.00131 5.48144e-05
         492     1.00416     1.00132  5.5008e-05
         493     1.00418     1.00132  5.5202e-05
         494      1.0042     1.00133 5.53964e-05
         495     1.00422     1.00133 5.55911e-05
         496     1.00424     1.00134 5.57863e-05
         497     1.00426     1.00135 5.59819e-05
         498     1.00428     1.00135 5.61778e-05
         499     1.00429     1.00136 5.63741e-05
         500     1.00431     1.00136 5.65709e-05
