#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         645    0.861516    0.809599  0.00926225
         646     0.86195     0.80968  0.00924827
         647    0.862394    0.809761  0.00923434
         648    0.862848    0.809843  0.00922045
         649    0.863313    0.809926  0.00920661
         650    0.863788    0.810009  0.00919282
         651    0.864272    0.810092  0.00917908
         652    0.864766    0.810176  0.00916538
         653    0.865268     0.81026  0.00915173
         654    0.865779    0.810345  0.00913813
         655    0.866298     0.81043  0.00912458
         656    0.866824    0.810516  0.00911108
         657    0.867357    0.810603  0.00909762
         658    0.867896     0.81069  0.00908421
         659    0.868442    0.810778  0.00907085
         660    0.868995    0.810866  0.00905753
         661    0.869554    0.810955  0.00904427
         662    0.870116    0.811044  0.00903104
         663    0.870681    0.811134  0.00901787
         664    0.871249    0.811224  0.00900474
         665    0.871817    0.811316  0.00899166
         666    0.872386    0.811407  0.00897863
         667    0.872956      0.8115  0.00896564
         668    0.873523    0.811592   0.0089527
         669    0.874087    0.811686  0.00893981
         670    0.874648     0.81178  0.00892696
         671    0.875205    0.811874  0.00891416
         672    0.875757    0.811969   0.0089014
         673    0.876302    0.812065  0.00888868
         674    0.876839    0.812161  0.00887602
         675    0.877368    0.812258  0.00886339
         676    0.877889    0.812355  0.00885081
         677    0.878401    0.812452  0.00883828
         678    0.878901     0.81255  0.00882578
         679    0.879388    0.812649  0.00881333
         680    0.879861    0.812748  0.00880093
         681     0.88032    0.812847  0.00878856
         682    0.880764    0.812946  0.00877624
         683    0.881192    0.813046  0.00876396
         684    0.881605    0.813147  0.00875172
         685       0.882    0.813247  0.00873952
         686    0.882378    0.813348  0.00872736
         687    0.882736    0.813449  0.00871524
         688    0.883074     0.81355  0.00870316
         689    0.883392    0.813651  0.00869112
         690    0.883688    0.813753  0.00867912
         691    0.883962    0.813855  0.00866715
         692    0.884215    0.813956  0.00865523
         693    0.884446    0.814058  0.00864333
         694    0.884655     0.81416  0.00863148
         695    0.884841    0.814261  0.00861966
         696    0.885004    0.814363  0.00860787
         697    0.885143    0.814465  0.00859612
         698    0.885258    0.814566   0.0085844
         699    0.885348    0.814667  0.00857272
         700    0.885413    0.814768  0.00856107
         701    0.885453    0.814869  0.00854945
         702    0.885466     0.81497  0.00853786
         703    0.885455     0.81507  0.00852631
         704    0.885419     0.81517  0.00851478
         705    0.885359    0.815269  0.00850329
         706    0.885273    0.815369  0.00849182
         707    0.885163    0.815467  0.00848038
         708    0.885028    0.815566  0.00846897
         709    0.884868    0.815663  0.00845759
         710    0.884683    0.815761  0.00844624
         711    0.884473    0.815857  0.00843491
         712    0.884237    0.815953  0.00842361
         713    0.883978    0.816049  0.00841234
         714    0.883694    0.816143  0.00840109
         715    0.883386    0.816237  0.00838987
